,precision,recall,f1-score,support
Anthracnose,0.8928571428571429,0.9259259259259259,0.9090909090909091,27.0
Apple Scab,0.896551724137931,1.0,0.9454545454545454,26.0
Bacterial Blight,0.967741935483871,0.9375,0.9523809523809523,32.0
Bacterial Leaf Blight,0.9333333333333333,0.875,0.9032258064516129,32.0
Bacterial Spot,0.90625,0.9666666666666667,0.9354838709677419,30.0
Black Scurf,0.0,0.0,0.0,3.0
Brown Spot,0.9285714285714286,1.0,0.9629629629629629,26.0
Cedar Apple Rust,1.0,0.9032258064516129,0.9491525423728814,31.0
Common Rust,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
Common Scab,0.9615384615384616,1.0,0.9803921568627451,25.0
Downy Mildew,0.0,0.0,0.0,2.0
Early Blight,0.9166666666666666,0.9166666666666666,0.9166666666666666,72.0
Fire Blight,1.0,1.0,1.0,28.0
Gray Leaf Spot,0.9523809523809523,1.0,0.975609756097561,20.0
Karnal Bunt,0.2,0.25,0.2222222222222222,4.0
Late Blight,0.9076923076923077,0.9672131147540983,0.9365079365079365,61.0
Leaf Blast,0.967741935483871,0.967741935483871,0.967741935483871,31.0
Leaf Curl,0.3333333333333333,0.5,0.4,2.0
Leaf Rust,0.9459459459459459,0.9722222222222222,0.958904109589041,36.0
Leaf Spot,0.9,0.8823529411764706,0.8910891089108911,51.0
Powdery Mildew,0.9104477611940298,0.9242424242424242,0.9172932330827067,66.0
Root Rot,0.0,0.0,0.0,4.0
Rust,0.5,0.3333333333333333,0.4,6.0
Septoria Leaf Spot,1.0,0.84375,0.9152542372881356,32.0
Sheath Blight,0.0,0.0,0.0,2.0
Turcicum Leaf Blight,0.90625,0.9666666666666667,0.9354838709677419,30.0
Verticillium Wilt,0.875,0.9655172413793104,0.9180327868852459,29.0
accuracy,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
macro avg,0.731808321027767,0.7412848745050347,0.7344118452967527,732.0
weighted avg,0.9085612834476847,0.9166666666666666,0.9115040663666168,732.0
