Temperature,Humidity,Rainfall,Soil_pH,N,P,K,Crop,Disease
21.3,61.5,134.1,5.89,64,59,27,Potato,Early Blight
22.2,67.5,149.2,6.12,83,22,44,Potato,Late Blight
22.6,53,127,6.59,101,39,43,Wheat,Powdery Mildew
34.1,48.8,271.5,6.49,94,36,36,Rice,Leaf Blast
37.6,40,237.4,6.57,64,50,36,Cotton,Bacterial Blight
22.1,56,107.6,6.38,102,58,44,Cotton,Bacterial Blight
29.9,84.7,272.2,6.14,105,26,40,Chili,Leaf Spot
36,87.4,139.7,7.07,114,45,23,Maize,Turcicum Leaf Blight
33.6,49.1,195.3,6.78,111,60,20,Chili,Anthracnose
21.1,65.6,28.5,6.12,106,38,46,Wheat,Powdery Mildew
25.3,84.7,294.9,7.42,79,52,38,Wheat,Karnal Bunt
30.4,46.6,101,5.66,77,31,55,Wheat,Karnal Bunt
22.6,83.4,42.4,6.56,61,49,42,Tomato,Septoria Leaf Spot
22.6,74.1,264.8,6.26,61,33,58,Cotton,Root Rot
31.7,84.9,206.7,7.4,92,22,58,Wheat,Rust
34.5,49.6,163.3,6.07,99,54,31,Maize,Downy Mildew
28.1,86.7,51.2,7.43,78,49,22,Chili,Anthracnose
28.3,41.5,253,6.31,68,38,20,Wheat,Rust
31.8,54.7,218.2,6.73,60,31,42,Wheat,Powdery Mildew
25.7,64.4,247.5,6.31,55,54,48,Chili,Anthracnose
20.1,81.3,112.1,6.9,91,58,49,Tomato,Early Blight
37.1,60.6,150.3,5.87,51,26,42,Wheat,Powdery Mildew
28.4,87.9,75.5,6.09,57,51,29,Rice,Sheath Blight
27.2,69.7,22.1,5.91,98,56,58,Potato,Black Scurf
37.2,75.3,208.4,6.56,77,33,33,Cotton,Leaf Curl
37.2,89.9,221.2,6,62,33,45,Chili,Powdery Mildew
27,67.2,201,5.86,77,35,25,Maize,Common Rust
24.7,45.5,267.3,6.36,94,39,30,Tomato,Late Blight
29.3,58.9,14.3,6.27,114,51,36,Wheat,Powdery Mildew
21.4,80.5,22.6,6.12,71,47,21,Tomato,Septoria Leaf Spot
26.4,53.9,261.1,6.45,100,49,28,Tomato,Early Blight
32.4,80.1,103,6.46,103,45,55,Wheat,Powdery Mildew
39.1,65.2,116.8,5.5,84,26,24,Chili,Powdery Mildew
39.9,59,68.1,6.57,77,54,44,Chili,Anthracnose
34.7,58.1,227.4,6.59,100,32,20,Potato,Early Blight
21.2,47,41,7.01,64,27,36,Tomato,Septoria Leaf Spot
35.2,60.8,167,5.74,86,50,30,Tomato,Septoria Leaf Spot
39.4,80.6,24.3,7.06,78,22,29,Potato,Black Scurf
29.4,64.2,185.6,7.46,109,56,31,Tomato,Early Blight
23.6,74.7,144.5,5.67,113,52,37,Potato,Early Blight
25.6,66.2,198.3,7.09,84,25,47,Wheat,Karnal Bunt
31.7,73.9,53.7,7.34,118,53,21,Wheat,Karnal Bunt
37,76.5,273,6.03,100,32,59,Tomato,Septoria Leaf Spot
31.1,83.7,14.1,7.39,93,28,29,Chili,Leaf Spot
25.5,81.4,75,7.38,83,29,30,Potato,Black Scurf
